date,pair_id,category,chain,side,store,label,price_gbp,per100,unit,offer,source,amount,amount_basis
2026-07-08,asda-mince,mince,Asda,plant,Asda,Plant Based by ASDA Meat-Free Mince (frozen),1.96,0.4317,g,,trolley,454,register
2026-07-08,coop-burg,burgers,Co-op,meat,Co-op,British 4 Beef Quarter Pounder Burgers,4.25,0.9361,g,,trolley,454,register
2026-07-08,coop-burg,burgers,Co-op,plant,Co-op,Plant Based The Incredible Burger,2.4,1.1429,g,,trolley,210,register
2026-07-08,coop-curry,ready meals,Co-op,meat,Co-op,Thai Green Chicken Curry,4,0.8511,g,,trolley,470,register
2026-07-08,coop-curry,ready meals,Co-op,plant,Co-op,Plant Based Creamy Coconut Cauliflower Curry,4.25,1.1486,g,,trolley,370,register
2026-07-08,coop-saus,sausages,Co-op,meat,Co-op,Butchers Choice 8 British Pork Sausages,2,0.4405,g,,trolley,454,register
2026-07-08,coop-saus,sausages,Co-op,plant,Co-op,Plant Based Sizzlin' Sausages,2.8,0.9333,g,,trolley,300,register
2026-07-08,coop-slaw,coleslaw,Co-op,meat,Co-op,Creamy Coleslaw,1.45,0.4833,g,,trolley,300,register
2026-07-08,coop-slaw,coleslaw,Co-op,plant,Co-op,Vegan Coleslaw,1.45,0.4833,g,,trolley,300,register
2026-07-08,ginsters-pasty,branded,branded,meat,Asda,Ginsters Original Cornish Pasty (227g),2.24,0.9868,g,,trolley,227,register
2026-07-08,ginsters-pasty,branded,branded,meat,Morrisons,Ginsters Original Cornish Pasty (227g),1.5,0.6608,g,,trolley,227,register
2026-07-08,ginsters-pasty,branded,branded,meat,Sainsbury's,Ginsters Original Cornish Pasty (227g),2.25,0.9912,g,,trolley,227,register
2026-07-08,ginsters-pasty,branded,branded,meat,Tesco,Ginsters Original Cornish Pasty (227g),2.25,0.9912,g,,trolley,227,register
2026-07-08,ginsters-pasty,branded,branded,meat,Waitrose,Ginsters Original Cornish Pasty (227g),1.75,0.7709,g,,trolley,227,register
2026-07-08,ginsters-pasty,branded,branded,plant,Asda,Ginsters Vegan Quorn Pasty (180g),1.93,1.0722,g,,trolley,180,register
2026-07-08,ginsters-pasty,branded,branded,plant,Morrisons,Ginsters Vegan Quorn Pasty (180g),2.25,1.25,g,,trolley,180,register
2026-07-08,ginsters-pasty,branded,branded,plant,Sainsbury's,Ginsters Vegan Quorn Pasty (180g),2.25,1.25,g,£1.50 NECTAR,trolley,180,register
2026-07-08,ginsters-pasty,branded,branded,plant,Tesco,Ginsters Vegan Quorn Pasty (180g),2.25,1.25,g,,trolley,180,register
2026-07-08,heinz-mayo,branded,branded,meat,Asda,Heinz Seriously Good Mayonnaise (775g),3.88,0.5006,g,,trolley,775,register
2026-07-08,heinz-mayo,branded,branded,meat,Morrisons,Heinz Seriously Good Mayonnaise (775g),3.9,0.5032,g,,trolley,775,register
2026-07-08,heinz-mayo,branded,branded,meat,Ocado,Heinz Seriously Good Mayonnaise (775g),3.95,0.5097,g,,trolley,775,register
2026-07-08,heinz-mayo,branded,branded,meat,Sainsbury's,Heinz Seriously Good Mayonnaise (775g),3.9,0.5032,g,£3.50 NECTAR,trolley,775,register
2026-07-08,heinz-mayo,branded,branded,meat,Tesco,Heinz Seriously Good Mayonnaise (775g),3.9,0.5032,g,2 FOR £6,trolley,775,register
2026-07-08,heinz-mayo,branded,branded,plant,Asda,Heinz Seriously Good Vegan Mayo (775g),3.88,0.5006,g,,trolley,775,register
2026-07-08,heinz-mayo,branded,branded,plant,Morrisons,Heinz Seriously Good Vegan Mayo (775g),3.9,0.5032,g,,trolley,775,register
2026-07-08,heinz-mayo,branded,branded,plant,Sainsbury's,Heinz Seriously Good Vegan Mayo (775g),3.9,0.5032,g,£3.50 NECTAR,trolley,775,register
2026-07-08,heinz-mayo,branded,branded,plant,Tesco,Heinz Seriously Good Vegan Mayo (775g),3.95,0.5097,g,,trolley,775,register
2026-07-08,hellmanns-mayo,branded,branded,meat,Asda,Hellmann's Real Mayonnaise (580ml),3.24,0.5586,ml,,trolley,580,register
2026-07-08,hellmanns-mayo,branded,branded,meat,Morrisons,Hellmann's Real Mayonnaise (580ml),2.5,0.431,ml,,trolley,580,register
2026-07-08,hellmanns-mayo,branded,branded,meat,Sainsbury's,Hellmann's Real Mayonnaise (580ml),3.25,0.5603,ml,£2.80 NECTAR,trolley,580,register
2026-07-08,hellmanns-mayo,branded,branded,meat,Tesco,Hellmann's Real Mayonnaise (580ml),3.25,0.5603,ml,2 FOR £5,trolley,580,register
2026-07-08,hellmanns-mayo,branded,branded,plant,Asda,Hellmann's Plant Based Mayo (750ml),4.73,0.6307,ml,,trolley,750,register
2026-07-08,hellmanns-mayo,branded,branded,plant,Morrisons,Hellmann's Plant Based Mayo (750ml),4.5,0.6,ml,,trolley,750,register
2026-07-08,hellmanns-mayo,branded,branded,plant,Sainsbury's,Hellmann's Plant Based Mayo (750ml),4.75,0.6333,ml,£3.50 NECTAR,trolley,750,register
2026-07-08,hellmanns-mayo,branded,branded,plant,Tesco,Hellmann's Plant Based Mayo (750ml),4.75,0.6333,ml,£3.50 CLUBCARD,trolley,750,register
2026-07-08,hellmanns-mayo,branded,branded,plant,Waitrose,Hellmann's Plant Based Mayo (750ml),5,0.6667,ml,,trolley,750,register
2026-07-08,magnum-ice,branded,branded,meat,Asda,Magnum Classic Chocolate (3 x 100ml),3.48,1.16,ml,,trolley,300,register
2026-07-08,magnum-ice,branded,branded,meat,Co-op,Magnum Classic Chocolate (3 x 100ml),3.2,1.0667,ml,,trolley,300,register
2026-07-08,magnum-ice,branded,branded,meat,Morrisons,Magnum Classic Chocolate (3 x 100ml),2,0.6667,ml,,trolley,300,register
2026-07-08,magnum-ice,branded,branded,meat,Ocado,Magnum Classic Chocolate (3 x 100ml),3.5,1.1667,ml,,trolley,300,register
2026-07-08,magnum-ice,branded,branded,meat,Sainsbury's,Magnum Classic Chocolate (3 x 100ml),3.5,1.1667,ml,,trolley,300,register
2026-07-08,magnum-ice,branded,branded,meat,Tesco,Magnum Classic Chocolate (3 x 100ml),3.5,1.1667,ml,£2.50 CLUBCARD,trolley,300,register
2026-07-08,magnum-ice,branded,branded,meat,Waitrose,Magnum Classic Chocolate (3 x 100ml),2.5,0.8333,ml,,trolley,300,register
2026-07-08,magnum-ice,branded,branded,plant,Asda,Magnum Collection Vegan Classic (3 x 90ml),3.25,1.2037,ml,,trolley,270,register
2026-07-08,magnum-ice,branded,branded,plant,Morrisons,Magnum Collection Vegan Classic (3 x 90ml),4.25,1.5741,ml,,trolley,270,register
2026-07-08,magnum-ice,branded,branded,plant,Sainsbury's,Magnum Collection Vegan Classic (3 x 90ml),4.25,1.5741,ml,,trolley,270,register
2026-07-08,magnum-ice,branded,branded,plant,Tesco,Magnum Collection Vegan Classic (3 x 90ml),4.25,1.5741,ml,,trolley,270,register
2026-07-08,magnum-ice,branded,branded,plant,Waitrose,Magnum Collection Vegan Classic (3 x 90ml),3.25,1.2037,ml,,trolley,270,register
2026-07-08,richmond-saus,branded,branded,meat,Asda,Richmond 8 Thick Pork Sausages (410g),2.17,0.5293,g,,trolley,410,register
2026-07-08,richmond-saus,branded,branded,meat,Co-op,Richmond 8 Thick Pork Sausages (410g),3,0.7317,g,,trolley,410,register
2026-07-08,richmond-saus,branded,branded,meat,Morrisons,Richmond 8 Thick Pork Sausages (410g),2.3,0.561,g,,trolley,410,register
2026-07-08,richmond-saus,branded,branded,meat,Tesco,Richmond 8 Thick Pork Sausages (410g),2.2,0.5366,g,,trolley,410,register
2026-07-08,richmond-saus,branded,branded,plant,Asda,Richmond 8 Meat Free Vegan Sausages (304g),1.87,0.6151,g,,trolley,304,register
2026-07-08,richmond-saus,branded,branded,plant,Co-op,Richmond 8 Meat Free Vegan Sausages (304g),3,0.9868,g,,trolley,304,register
2026-07-08,richmond-saus,branded,branded,plant,Morrisons,Richmond 8 Meat Free Vegan Sausages (304g),2.4,0.7895,g,,trolley,304,register
